"systemSku","customField1","customField2"
"J.25.SNM.FLA.XX.162W.1","JONES FLAGSHIP SNOWBOARD 2025","JONES FLAGSHIP SNOWBOARD 2025"
"J.25.SNU.FRS.XX.158.1","JONES FREECARVER 6000S SNOWBOARD 2025","JONES FREECARVER 6000S SNOWBOARD 2025"
"J.25.SNM.FRT.XX.156.1","JONES FRONTIER SNOWBOARD 2025","JONES FRONTIER SNOWBOARD 2025"
"J.25.SNU.FRE.XX.156.1","JONES FREECARVER 9000S SNOWBOARD 2025","JONES FREECARVER 9000S SNOWBOARD 2025"
"J.25.SNM.FRT.XX.164W.1","JONES FRONTIER SNOWBOARD 2025","JONES FRONTIER SNOWBOARD 2025"
"J.25.SNM.FRT.XX.158W.1","JONES FRONTIER SNOWBOARD 2025","JONES FRONTIER SNOWBOARD 2025"
"J.25.SNM.FRT.XX.161W.1","JONES FRONTIER SNOWBOARD 2025","JONES FRONTIER SNOWBOARD 2025"
"J.25.SNM.FRT.XX.159.1","JONES FRONTIER SNOWBOARD 2025","JONES FRONTIER SNOWBOARD 2025"
"J.25.SNM.FRT.XX.162.1","JONES FRONTIER SNOWBOARD 2025","JONES FRONTIER SNOWBOARD 2025"
"J.25.SNM.FRT.XX.165.1","JONES FRONTIER SNOWBOARD 2025","JONES FRONTIER SNOWBOARD 2025"
"J.25.SNM.FRT.XX.167W.1","JONES FRONTIER SNOWBOARD 2025","JONES FRONTIER SNOWBOARD 2025"
"J.25.SNM.UMT.XX.159W.1","JONES MOUNTAIN TWIN PRO SNOWBOARD 2025","JONES MOUNTAIN TWIN PRO SNOWBOARD 2025"
"J.25.SNM.UMT.XX.160.1","JONES MOUNTAIN TWIN PRO SNOWBOARD 2025","JONES MOUNTAIN TWIN PRO SNOWBOARD 2025"
"J.25.SPM.FRT.XX.159.1","JONES FRONTIER SPLITBOARD SNOWBOARD 2025","JONES FRONTIER SPLITBOARD SNOWBOARD 2025"
"J.25.SNM.UMT.XX.157.1","JONES MOUNTAIN TWIN PRO SNOWBOARD 2025","JONES MOUNTAIN TWIN PRO SNOWBOARD 2025"
"J.25.SNM.UMT.XX.162W.1","JONES MOUNTAIN TWIN PRO SNOWBOARD 2025","JONES MOUNTAIN TWIN PRO SNOWBOARD 2025"
"J.25.SNM.MTN.XX.157.1","JONES MOUNTAIN TWIN SNOWBOARD 2025","JONES MOUNTAIN TWIN SNOWBOARD 2025"
"J.25.SNM.MTN.XX.160.1","JONES MOUNTAIN TWIN SNOWBOARD 2025","JONES MOUNTAIN TWIN SNOWBOARD 2025"
"J.25.SNM.MTN.XX.159W.1","JONES MOUNTAIN TWIN SNOWBOARD 2025","JONES MOUNTAIN TWIN SNOWBOARD 2025"
"J.25.SNM.MTN.XX.165W.1","JONES MOUNTAIN TWIN SNOWBOARD 2025","JONES MOUNTAIN TWIN SNOWBOARD 2025"
"J.24.SNM.STR.XX.156.1","JONES STRATOS SNOWBOARD 2025","JONES STRATOS SNOWBOARD 2025"
"J.25.SNM.MTN.XX.163.1","JONES MOUNTAIN TWIN SNOWBOARD 2025","JONES MOUNTAIN TWIN SNOWBOARD 2025"
"J.25.SNM.MTN.XX.162W.1","JONES MOUNTAIN TWIN SNOWBOARD 2025","JONES MOUNTAIN TWIN SNOWBOARD 2025"
"J.25.SPM.MTN.XX.157.1","JONES MOUNTAIN TWIN SPLITBOARD SNOWBOARD 2025","JONES MOUNTAIN TWIN SPLITBOARD SNOWBOARD 2025"
"J.24.SNM.STR.XX.158W.1","JONES STRATOS SNOWBOARD 2025","JONES STRATOS SNOWBOARD 2025"
"J.25.SNW.DRC.XX.145.1","JONES WOMENS DREAM WEAVER SNOWBOARD 2025","JONES WOMENS DREAM WEAVER SNOWBOARD 2025"
"J.25.SNW.DRC.XX.148.1","JONES WOMENS DREAM WEAVER SNOWBOARD 2025","JONES WOMENS DREAM WEAVER SNOWBOARD 2025"
"J.25.SNW.DRC.XX.151.1","JONES WOMENS DREAM WEAVER SNOWBOARD 2025","JONES WOMENS DREAM WEAVER SNOWBOARD 2025"
"J.25.SPW.DRC.XX.151.1","JONES WOMENS DREAM WEAVER SPLITBOARD SNOWBOARD 2025","JONES WOMENS DREAM WEAVER SPLITBOARD SNOWBOARD 2025"
"J.25.SNW.DRC.XX.154.1","JONES WOMENS DREAM WEAVER SNOWBOARD 2025","JONES WOMENS DREAM WEAVER SNOWBOARD 2025"
"J.25.SPW.DRC.XX.148.1","JONES WOMENS DREAM WEAVER SPLITBOARD SNOWBOARD 2025","JONES WOMENS DREAM WEAVER SPLITBOARD SNOWBOARD 2025"
"J.25.SNW.WFL.XX.152.1","JONES WOMENS FLAGSHIP SNOWBOARD 2025","JONES WOMENS FLAGSHIP SNOWBOARD 2025"
"J.24.SNW.WST.XX.152.1","JONES WOMENS STRATOS SNOWBOARD 2025","JONES WOMENS STRATOS SNOWBOARD 2025"
"J.24.SNW.WST.XX.149.1","JONES WOMENS STRATOS SNOWBOARD 2025","JONES WOMENS STRATOS SNOWBOARD 2025"
"J.25.SNW.TWS.XX.149.1","JONES WOMENS TWIN SISTER SNOWBOARD 2025","JONES WOMENS TWIN SISTER SNOWBOARD 2025"
"J.25.SNW.TWS.XX.152.1","JONES WOMENS TWIN SISTER SNOWBOARD 2025","JONES WOMENS TWIN SISTER SNOWBOARD 2025"
